Doctors,
Mia,
Randolph,
Kester,
John,
Brogan,
Mooney,
Lila,
Valdez,
Mcclain,
Kerri,
Patients,
3,10,
6,10,
9,10,
12,10,
15,10,
18,10,
21,10,
24,10,
27,10,
30,10,
33,10,
36,10,
39,10,
42,10,
45,10,
48,10,
51,10,
54,10,
57,10,
60,10,
63,10,
66,10,
69,10,
72,10,
75,10,
78,10,
81,10,
84,10,
87,10,
90,10,
93,10,
96,10,
99,10,
102,10,
105,10,
108,10,
111,10,
114,10,
117,10,
120,10,
123,10,
126,10,
129,10,
132,10,
135,10,
138,10,
141,10,
144,10,
147,10,
150,10,
153,10,
156,10,
159,10,
162,10,
165,10,
168,10,
171,10,
174,10,
177,10,
180,10,
183,10,
186,10,
189,10,
192,10,
195,10,
198,10,
201,10,
204,10,
207,10,
210,10,
213,10,
216,10,
219,10,
222,10,
225,10,
228,10,
231,10,
234,10,
237,10,
240,10
