Doctors,
Randolph,
Kester,
John,
Brogan,
Mooney,
Lila,
Valdez,
Mcclain,
Kerri,
Patients,
2,16
3,18
5,23
7,10
10,21
12,12
14,23
15,25
17,14
18,11
20,13
23,16
25,24
27,21
28,21
30,17
32,19
33,13
34,25
37,11
38,25
41,24
44,12
45,20
47,18
49,19
50,19
51,25
52,25
54,17
57,23
59,23
62,22
63,19
64,12
67,24
70,21
73,12
74,10
75,24
77,17
78,16
80,17
83,22
84,25
85,14
87,12
89,21
90,14
91,16
94,18
97,22
99,18
101,16
104,11
105,10
106,10
108,15
111,14
113,24
115,15
117,22
120,11
121,22
123,11
125,23
126,12
128,16
131,10
132,15
135,18
138,15
141,12
143,19
145,22
148,21
150,11
151,21
152,23
155,12
156,17
158,19
161,15
163,20
165,16
167,20
170,17
172,18
173,22
174,10
175,23
178,13
180,21
182,19
183,25
184,19
185,12
188,21
189,11
192,16
193,17
195,25
198,21
199,11
202,22
204,21
205,14
206,16
209,16
211,19
214,14
217,16
219,13
222,10
223,15
224,21
227,16
229,25
230,17
231,18
233,25
235,25
236,11
238,17
239,19
